text,label
"Last night in Kyiv, tragically, three people were killed by Russian drones, including a father and his five-year-old daughter. Just a day earlier in Zaporizhzhia, a Russian strike took the lives of an entire family—a mother, a father, and their daughter. My condolences to all the families and loved ones.  There must be more pressure on Russia to stop this terror. And that depends on all our partners—the U.S., Europe, and others around the world. After the last meeting in Jeddah, Saudi Arabia, it has become absolutely clear to the entire world: Russia is the only one dragging this war out, the only one that brought it here—and the only one who needs it to continue.  Since March 11, a proposal for an unconditional ceasefire has been on the table—and these attacks could have already stopped. But it is Russia that continues all this. Every night, every single day, it carries out the most cynical strikes. Without pressure on Russia, those in Moscow will continue to show contempt for real diplomacy and keep destroying lives.  Today is the second meeting between the Ukrainian and U.S. teams in Saudi Arabia. This time at a more technical level—with our military, diplomats, and representatives from the Ministry of Energy.  I’ve spoken with @rustem_umerov, who briefed me on the meeting and the course of negotiations. Our team is working in a fully constructive manner, and the discussion is quite useful. The work of the delegations continues.  But no matter what we’re discussing with our partners right now, Putin must be pushed to issue a real order to stop the strikes—because the one who brought this war must be the one to take it back.",2
Britain has sent a new batch of Storm Shadow cruise missiles to Ukraine.,0
Ohhh shit. The Trump Admin was just confronted with WHY top secret war info was discussed in a chat group.  Guess what? They DODGED the question. Pete Hegseth should RESIGN.,1
Sanctions aren’t the end; we can always forge new alliances.,1
"The best weapons are the ones that perform the job you expect them to perform (F35 not needed for most missions), at an affordable price all costs included (F35 is an financial drain), with on-time delivery  (🇦🇺 subs never to be delivered) and free to use once paid for",1
✋🏻 Still boycotting multiple brands supporting this occupation. And will boycott till eternity Inshallah!,1
A colorized photo dating back to 1955 during the Belgium's occupation of Congo. A Belgian father brought an African child to his daughters and caged her as an entertainment.,1
"I couldn’t care less about either Russia, or Ukraine, or this fake ass perpetuwar.  I care about my values and my future not being conquered by islam.  Or being overrun with immigrants like Germany or UK.  And I’m sick of seeing this sht:",1
US and Russian officials have begun talks in Saudi Arabia as Donald Trump pushes to broker a limited ceasefire that Washington hopes will mark the first step toward lasting peace in Ukraine  #UnitedStates #Russia #SaudiArabia #DonaldTrump https://youtu.be/P38UwQffykA?si=4DiHOI66mpGObWUY,1
"Paseo Ahumada, verano del 2009, cuando la invasión aún no comenzaba.",1
#Canadian Sgt Vaughan Ingram was killed while serving - in support of the #USA - the only time NATO's Article 5 was invoked.    #WeHadYourBack America    #NATO #uspoli #cdnpoli #Canada,1
Ciao carissima buona serata anche a te 🙏🏻🌺,1
Oh how will we survive without participating in Ukraine money laundering and thousands of federal employees sitting at home watching Netflix everyday?,1
PEACE TALKS IN SAUDI ARABIA,1
"1/6 In Saudi Arabia, Americans & Russians discuss a maritime truce for safe commercial navigation, not peace or a general ceasefire. It’s a repeat of Istanbul talks, tailored for Trump & Putin fans. Russia lost the Black Sea battle over a year ago.",0
"#BREAKING Journalist Hossam Shabat’s team shares his final message:  “If you’re reading this, it means I have been killed—most likely targeted—by the Israeli occupation forces. When this all began, I was only 21 years old—a college student with dreams like anyone else. For past 18 months, I have dedicated every moment of my life to my people. I documented the horrors in northern Gaza minute by minute, determined to show the world the truth they tried to bury. I slept on pavements, in schools, in tents—anywhere I could. Each day was a battle for survival. I endured hunger for months, yet I never left my people’s side.  By God, I fulfilled my duty as a journalist. I risked everything to report the truth, and now, I am finally at rest—something I haven’t known in the past 18 months . I did all this because I believe in the Palestinian cause. I believe this land is ours, and it has been the highest honor of my life to die defending it and serving its people.  I ask you now: do not stop speaking about Gaza. Do not let the world look away. Keep fighting, keep telling our stories—until Palestine is free.  — For the last time, Hossam Shabat, from northern Gaza.”",2
@PistoriusPress überlegt doch mal die basics (welche berater habt ihr...?) alle streitkräfte der nato dürfen/sollen nur noch in englisch sprechen-auch national!! WICHTIGSTE!!,0
"Intellectually bankrupt? They literally used our taxes to perform human trafficking and destroy the republic.   I am sympathetic to unjust prosecution, but these folks have a criminality rate of 100%.   Where is our due process for invasion and theft?",1
Israeli occupation soldier force Palestinians entering Jerusalem’s Old City to undergo humiliating strip searches as they head to Al-Aqsa Mosque.,2
What part of “illegal” does she not get.  It is an invasion of unvetted “mostly military aged men” “gangbangers”  “murderers” “rapist” etc..  they have no rights under the constitution.  There is a process for a damned reason.  Ok… rant over,1
"NATO bi nas bombardovao ko kog da je bio na vlasti, ali Slobodan heroin, gajbice, privatizacije, hiperinflacija, Dafina, Jezda, Palma Milošević je čudovište koje u paklu sada gori mamu vam jebem svim slobistima balavci retardirani",0
Better send them to Ukraine. The invasion will be towards Kyiv. Russia isn't ready yet for a new war with heavily armed & backed up NATO countries...,2
"They are focus on the nonsense, their fantasies. Meanwhile there is a huge issue to solve with the war Russia Ukraine.",2
HOSSAM ASKED EVERYONE TO BESIEGE THE ZIONIST EMBASSIES OCTOBER LAST YEAR. HE REPEATED THE CALL ONLY DAYS AGO. HE HAS NOW BEEN MARTYRED BY THE ZIONIST OCCUPATION.,0
"President Trump announced a 25 percent across-the-board tariff on any country that purchases oil from Venezuela - but who will really be paying for the additional cost? Also today, US/Russia talks begin again in Saudi Arabia. Will the US take control of Ukraine's power plants? Watch @RonPaul & @DanielLMcAdams below:",1
"If you demonize one negotiator over the other, peace talks collapse, especially when the Untied States was the party that blew up the Russia Ukraine negotiations in 2022. America's arsenal was outdated, so it was good for the Military/Industrial Complex. https://www.foreignaffairs.com/ukraine/talks-could-have-ended-war-ukraine",2
"🔴⚡️🇷🇺 Piotr Tolstoï l’affirme : Les Français meurent en Ukraine, mais Macron cache les pertes. Officiellement, ils “disparaissent en montagne”. Officieusement, ils tombent sous les frappes russes. L’hôtel de Krivoy Rog n’était qu’un exemple. Paris veut éviter un scandale : si les Français savaient, ils diraient non à la guerre. Source : @Tocsin_Media",0
No. Engels Air Base is a key strategic bomber base that houses bombers capable of carrying nuclear weapons. It is not confirmed whether nuclear weapons are physically stored there. Nukes are always stored separately to delivery systems.,1
And meanwhile is Putin shutting down his arms factories and the delivery of drones weapons and N Korean fighters? It goes two ways NOT one.,0
"When Russia invaded and began occupying two sections of Georgia in 2008, Russians used the same playbook we've seen from them throughout their 11 year invasion of Ukraine. Mass rape, mass murder of unarmed civilians, looting and then following it all up with denials that Russian forces were even there - the Russian standard.",2
ймовірність,0
100% chance Trump is going to halt weapons delivery to Ukraine,0
"No, this is an utter disgrace and exceptionally jingoistic. Vance is threatening the territory of a fellow NATO member and ally. This is NOT in any way US territory but MAGA is acting like the worst type of tyrant, Putinesque even.",2
"The Trump administration is considering recognizing Ukraine's Crimea region as Russian territory as part of any future agreement to end the Ukraine war, per Semafor",0
An F-35B ⚡️II drops a GBU-32 guided munition during a live-fire weapons delivery test at Edwards AFB. U.S. Navy 📷courtesy of Lockheed Martin by Tom Reynolds,1
"BREAKING:  🇩🇪🇺🇦 After the US, Germany has also stopped the delivery of weapons to Ukraine, but not because it wants to but because their weapons are at a critical level   German Defense Ministry  ""Germany has reached the limit of its ability to transfer weapons from its arsenals to Ukraine""",1
"US peace talks with Ukraine, Russia get underway in Saudi Arabia https://www.foxnews.com/world/us-peace-talks-ukraine-russia-get-underway-saudi-arabia",1
The CIA is trying to get sympathy points?   We do not care.  We do not care.  We do not care.   Now that they are in the spotlight for basically setting up a sitting president to be unalived just to secure Israel so they can get nuclear weapons they no longer can create Hollywood blockbusters where they can romanticize their agency to be this covert spy thriller where they are unraveling conspiracies.   This is not Zero Dark 30.  This is not Argo.  This is not 'The Bourne Identity'.  You all are the agency that needs to be dismantled. We are no longer playing your game. Now we understand how dangerous you are not to just America but the world. We now have just cause to remove you.,1
"At night, Russians carried out a massive terrorist attack on Kyiv. They used drones to hit anywhere, including residential areas, and killed three civilians, including a five-year-old girl.  Russians are proud of this army. They are proud of such “victories”",2
"Sure, I've always said that the Memorandum was an exceptionally poor and non-binding deal Ukraine should never have signed. The US has no legal obligation,  but not defending Ukraine and giving up on transatlanticism will cost the US far more in the long run than aid to Kyiv did.",2
"Is this a joke? ""I liked [Putin]. I thought he was straight up with me.""",0
"Today, we reaffirm our support for you, President @ZelenskyyUa, and a just, lasting peace for Ukraine.  With our ReArm Europe plan, we will speed up delivery of the weapons and ammunition for Ukraine.  We’re making our entire continent safer.",2
"And in the downside, jailed people for FB posts, hit pensioners in their pockets, paid train drivers extortionate pay rise to keep Unions happy, are taking us to war, have committed UK to the maddest Ukraine 100 year contract, are driving our farmers bankrupt and the country but apart from that you’re good with them ! Oh and our taxes, where shall I start!!!!!!!",1
"As U.S.-Russia talks resume in Saudi Arabia, Moscow will work to delay peace and capture more Ukrainian territory – betting that Washington will not be concerned with where the border ultimately falls. https://www.themoscowtimes.com/2025/03/23/playing-for-time-what-the-kremlin-wants-in-new-talks-with-the-us-on-ukraine-a88445",0
"4⃣Aftermath — A Painful Lesson for Moscow 🏚️ When the fires died out, the city was devastated. Estimates suggest tens of thousands were killed. But Tokhtamysh made his point — Rus’ was still under the Horde’s boot. 👑 Dmitry Donskoy returned, rebuilt, and — ironically — paid tribute again to the Golden Horde. But the events of 1382 planted a seed: Never again would Moscow be so naïve. The need for a unified and fortified Russian state became undeniable. 💡 The massacre became both a cautionary tale and a rallying cry — one that would echo through centuries of Russian resistance and identity.",0
"Und jetzt fragt dich doch mal, weshalb dieses KKW nicht rentabel war?!",1
Watch: A Red Cross building in western Rafah after being bombed by the Israeli occupation forces—yet another blatant attack on international and humanitarian infrastructure in #Gaza.,1
"JOURNALIST HOSSAM SHABAT’S FINAL MESSAGE “If you’re reading this, it means I have been killed—most likely targeted—by the Israeli occupation forces. When this all began, I was only 21 years old—a college student with dreams like anyone else. For past 18 months, I have dedicated every moment of my life to my people. I documented the horrors in northern Gaza minute by minute, determined to show the world the truth they tried to bury. I slept on pavements, in schools, in tents—anywhere I could. Each day was a battle for survival. I endured hunger for months, yet I never left my people’s side. By God, I fulfilled my duty as a journalist. I risked everything to report the truth, and now, I am finally at rest—something I haven’t known in the past 18 months . I did all this because I believe in the Palestinian cause. I believe this land is ours, and it has been the highest honor of my life to die defending it and serving its people. I ask you now: do not stop speaking about Gaza. Do not let the world look away. Keep fighting, keep telling our stories—until Palestine is free.” — For the last time, Hossam Shabat, from northern Gaza.”",1
They’re killing journalists so they can’t report their war crimes.,1
"A ""great deal"". putin wanted everything wanted - continue the war with pushing Trump to stop the delivery of weapons",0
"1/ Habe mit Militärhistoriker Sönke Neitzel über Ukraine-Krieg, die nötige Zeitenwende in den Köpfen und die Gefahren für das Baltikum gesprochen. Und endlich ist da einer, der nicht nur 1. sehr klar erläutert, warum es diese ""europäischen Friedenstruppen"" nicht geben wird ...👇",2
"We don't know if that information was released on purpose or not. Pretty confidant if it was an accident, that heads with roll, or at least at a point in time where it would not upset the peace talks.",1
It wasn’t a mistake. “In military EVERYTHING everything is planned long ago” — Andrey Guralev The Trump administration wanted the information out.,0
"Sudan’s army won a symbolic victory in retaking the Presidential Palace, starting a new phase of the war that could lessen the humanitarian crisis and open the door to peace talks—if the international community is prepared to act. More from @_hudsonc : https://www.csis.org/analysis/new-phase-sudans-civil-war",1
🇺🇦 ANIMALS! Military kidnappers took a father and left his baby in stroller on the street! What the hell is happening in Ukraine?,2
"Today’s strike on Sumy damaged a hospital, school and homes—dozens of civilian casualties reported. This comes after deadly attacks in Kyiv and Zaporizhzhia. Such attacks violate international humanitarian law. Civilians must be protected—always.",2
"If he trusted Putin, he would have spoken on his behalf to talk with NATO leaders in rounds of discussions - that should have happened. Except Billy Clinton + Newt Gingrich decided to go all stupid and greedy. Kicked Putin out of NATO talks. Decided to create the H1B program to manipulate and illegally exploit US Workers - to this day. And coup-de-grace gave us what is China and Afghanistan today.",0
The War Room is about to go live with HUGE NEWS! Watch and share the link below!,1
📰🇮🇱🇺🇸❌🇵🇸Killed by Israel with US weapons He survived so much…and gave so much.. BREAKING | Renowned Palestinian journalist Hossam Shabat has just been killed by Israeli occupation forces in an airstrike on Jabalia in northern Gaza. 😭🤬🙏🙏🏼 May He live through us I,0
"BREAKING: ICE now confirming the Cobb County mother of five that was strangled to death last week and left in a bush was murdered by 21-year-old Hector Sagastume Rivas, an ILLEGAL ALIEN from Honduras. 5 children are without a mother tonight because of a killer foreign invasion.",0
"President Trump was right about Ukraine, and the media’s quietly admitting it. The Hill: the war wasn’t unprovoked, Ukrainian militants sparked it in 2014. Zelenskyy rejected peace, banned opposition, and begged for weapons while escalating tensions. The West funded and armed it, selling a one-sided story. They called dissenters traitors, but now the narrative’s cracking. Trump warned of NATO’s recklessness and pointless war, mocked then, vindicated now. Independent voices broke the lie, people are waking up. This isn’t about sides, it’s about TRUTH. The elite thrive on division, but the narrative is failing. Dig deeper, question the anger, seek reality. Peace DIES in LIES.",0
"Today in 1999 NATO began its grossly illegal bombing of Serbia 22K tons of bombs, 2.5K civilians dead (at least 89 kids), 50% industry & 19 hospitals hit, cluster bombs & uranium used, no UN approval, Today, it's more relevant than ever. Never forget. Hикад заборавити!",0
22 years separates Tony Blair’s invasion of Iraq with Keir Starmer’s complicity in Israel’s genocide. We can’t let this go on forever. Join us 👇 https://www.declassifieduk.org/join/,0
But Ukraine government has been killing civilians since 2014. On the other hand your regime is attacking energetic infraestructure which was important for peace talks and cease fire...are you trying to extend the war in order to remain in power as the dictator of Ukraine?,2
"Hahahaha Kyiv in 3 days , Russia can’t even capture a single oblast",0
Ukraine doesn’t get a veto over anything America does !! Not even NATO 🤔,0
"Being more innovative isnt exactly good either, Look at the Ford, they tried to be innovative, add a ton of new technology and it had problems for years even when it was officially delivered to the Navy, its weapons elevators had issues for 4yrs after delivery, nightmare.",1
Also he has a long track history of bullshitting about pre order stuff And he’s a weapons grade wanker who might not be in business when you take delivery,1
"You, a woman disguised as a journalist, should first report on the Zionist occupation and genocide in Gaza and Palestine, but you cannot do so because your owners will cut off your food.🤮",0
Yep!,1
"Zelensky claims Russia has tricked some Trump administration officials with false stories about the Ukraine war. He says Putin has convinced them that Ukrainians don’t want peace, and the U.S. should pressure them. Zelensky also mentioned his heated Oval Office argument with Trump, saying he had to stand up for Ukraine’s honor, as it felt like they weren’t allies in that moment. Just the audacity of this goblin.",2
Mrzim NATO sto je 1999 od UDBA i KGB oslobodio samo kosovske Albance a ne i gradjane cele Srbije...,0
"You're right, it was smaller. It got bigger DESPITE sanctions. The use of NATO intelligence, weaponry, specialists, and training is absolutely war. Also, these idiotic self imposed deadlines have to stop, the 'Russia is winning too slowly' cope MUST stop",0
"🤣🤣🤣🤣siz ne mal adamsiniz askeri s400 u kullanmamiz yasak yoksa nato urunlerini kullanamazsin hangarda curuyor s400 ler,zaten alinmasinin ana amacini teknolojisini calmakti oda oldu",0
#Київ / #Kyiv,2
Putin keeps breaking the imaginary ceasefire and humiliating Trump in the process. Trump won’t do anything because he is a russian asset,2
"There is this sort of an educated European/American: deeply and sincerely charmed by Russia. By its diverse culture, history, scale. Some of them even lived in Russia (Moscow, of course) as expats. They have many Russian friends, who are educated, sophisticated people, sharing Western values, but with this slight adorable piece of primeval savagery and passion in them. It is refreshing. What’s not to like.  It is extremely dangerous when such people hold high positions and make political decisions.",0
"an ""end to the conflict"" means RUSSIA GOES BACK HOME. and Ukraine's borders stay intact.   anything less is capitulation and occupation and appeasing a dictator.",0
99% drop illegal immigration Gas prices dropping Food prices dropping Businesses returning. Peace talks between Ukraine and Russia,1
"Peter Magyar, the guy that's now destroying Hungary's Russian-backed kleptocrat Victor Orban in the polls calls for millions to rise up and stop the country from falling into Putin's dirty little rat claws.",2
"“We are their only obstacle”, who is the “we”?  The US would still patrol. NATO/EU would still patrol. It’s not as if these actions would cease. We would still have an interest in keeping lanes open.  And I know, I patrolled all over the world onboard a Navy ship for two years.",1
Ukrainians walking out on peace talks seems to confirm that they aren't keen on ending the war.,2
"The ""Serbian liars"" label may stem from disputed Kosovan War narratives. Some Serbians downplay ethnic cleansing or exaggerate NATO bombing casualties (est. 500-2,500), while claiming the 1999 intervention was illegal—supported by its lack of UN approval. Critics point to documented atrocities and the Kosovo Myth shaping perceptions, but generalizing all Serbians as liars oversimplifies a complex history.",1
These devices all around this parking garage in downtown Tulsa look like 'misters' a delivery system for chemical and biological weapons. Weird huh @SecDef @DeptofDefense @DefenseIntel @POTUS @VP @GovStitt @CIA @NSAGov @NSACyber,1
An Israeli occupation soldier jumped from a plane and his parachute malfunctioned. He’s in awful condition.,1
"🚨 Breaking: The U.S. Treasury lifts sanctions on Tornado Cash, a pivotal moment for crypto privacy tools. Crosswalk's Perspective: As we build adaptive DeFi infrastructure, ensuring secure and compliant privacy solutions remains paramount. #CryptoRegulation #DeFi #PrivacyTools #Crosswalk 👥 @cz_binance, @VitalikButerin, @CoinDesk, @Cointelegraph",1
"+100 000 Tamils were massacred by Sri Lankan Army But instead of welcoming UK’s sanctions against Sri Lankan war criminals, this dhimmi who is loyal to her Muslim masters deplores the lack of sanctions against Israel Wokes care about oppression only when it fits their narrative",0
Nothing owns us Libs harder than day-drunk-texting top secret war plans to reporters. 'Cry harder' all over my replies in 3…2…,1
wanda maximoff using her shield to protect herself from bullets in ‘captain america: civil war’ (2016).,1
"Had a great call with @AraratMirzoyan. The opening of embassies in Yerevan & Budapest signals a new chapter in our relations. I welcomed the progress in Armenia-Azerbaijan peace talks. Finalizing the text is a crucial milestone, encouraging others working on conflict resolutions.",1
"Funny, because they imposed sanctions on Serbia. 😄",1
We stand with Ukraine 🇺🇦,2
"He only knows how to lie and insult, the rest is all scripted theater or special Krasnov instructions from Moscow.",0
if you keep slamming your right temple while waking up you can open your BIOS menu,1
This idiot is now the national security advisor. Known for kissing Trump’s ass he also has a penchant for inviting reporters into non secure war planning chats. In other words; he fits in perfectly with the other fucking morons in Trump’s administration.,1
Ukraine peace talks in Riyadh face challenges amid differing goals. #international #politics #conflict #news,1
"Voor wat het waard is, hoor. Maar als ik een voorspelling mag doen: Voor het einde van Trump's presidentschap besluiten Trump, Putin en Xi dat ze er alle drie mee kunnen leven dat Amerika Groenland krijgt, Rusland Oost-Oekraïne/Krim en China Taiwan.",0
Saudi Arabian TV Al Arabia recently claimed “George Floyd is fighting along side Russians in Ukraine” Apparently nigga’s still breathing.,0
⚡️BREAKING: MASSIVE Explosion In Central Moscow; Russian General MISSING In Belgorod | Enforcer News https://youtu.be/laZsamC7rmg,0
Peace Talks https://amzn.to/4cALBTc #AmazonAffiliate #paidlink,1
"ok, obama bad, biden bad. why not to help ukraine now? why spread disgusting russian lies about this war? why not double weapons delivery? why try to humiliate president Zelenskyy? what the purpose of it all?",2
Pete Hegseth accidentally added a Journalist from the Atlantic into a signal group chat detailing US war plans in Yemen against the Houthis before strikes took place. A national security failure like no other.,1
There are 3 choices for Russia’s European neighbours: 1. NATO integration; 2. Russian invasion; 3. Having a Russian puppet regime with all the social darkness it carries - and which doesn’t even guarantee a lack of Russian military adventurism. No wonder we all rush to NATO.,0
"Under Natural Law everyone is part of one and one is part of all” @HRMQR HRM Queen Romana Didulo (1) The First is lifting economic sanctions on Cuba, North Korea, China, Russia, and Iran. Get comfortable with the uncomfortable, the Truth is about to set Us Free! A New Era!",0
Russia doesn’t want the Ukraine to join NATO. They tried to take Kyiv and got ran out. Putin is just trying to save face. The US always had discretionary funds for foreign entities in exchange for intelligence. Ukraine is no different than Israel when it comes to that.,0
"22nd anniversary of Iraq invasion today. BP returned to Iraq in 2009 after 35-year absence and took control of its largest oilfield near Basra. UK soldiers were still occupying the area. Over next decade, the company extracted Iraqi oil worth £15bn. 1 million Iraqis died.",1
Its not about attack or defend! Its positioning early and controlling territory before its not possible any more and could then be a territorial threat to russia. Nato is a defence agreement!,2
"Zahvaljujući predsedniku,mi se prisećamo,nismo zaboravili Nato agresiju na našu zemlju. @avucic #Vucic #dansecanja #srbija #Natoagresija",2
.@VigilantFox It is not negligent homicide when you create a delivery system for biological weapons and commit crimes to conceal it to push an even more deadly bioweapon. It is deliberate. See the clip from @RealAmVoice on @jeffcrouere Ringside Politics.,1
"Pre 26.godina NATO bombe su padale na nedužan narod! Stradali su ljudi a i deca! Patila je jedna nacija! Rane bole i sada i uvek će! Neće #srbija zaboraviti, nikada! @avucic #vucic #dansecanja #natoagresija",2
Вгадайте хто їде додому і чому в нас дві переноски? 🥰,0
"🔘 Trump stated that the US and Ukraine have agreed on a deal regarding rare earth metals, and the signing will take place soon. 🔘 Trump stated that territorial issues and possible lines of demarcation in Ukraine are being discussed during the negotiations in Riyadh. - ukraine_watch",0
He doesn't want peace you can hear it when he talks.,1
"Hopefully every new weapons platform has parallel unmanned version. Future wars will use much smaller, much faster, more maneuverable, more lethal, & much cheaper weaponry. Occupied versions impose significant costly design requirements for safety, length development to delivery!",1
"Purpose: To reduce and limit strategic nuclear weapons and delivery systems. If you decrease American involvement and force countries into not trusting you or your weapons or make out to seem fickle when it matters, all prior treaties particularly this one fail",1
"First, Kuperman argues that far-right militants were responsible for violence in Kyiv in February 2014. He draws heavily on Ivan Katchanovski who published several studies to this effect.",2
"Eugeniusz Łazowski was a Polish doctor who cleverly faked a typhus epidemic in Rozwadów to frighten the German occupation authorities. Thanks to the efforts of Polish doctors, around 8,000 Jews were saved from the Holocaust. https://www.britishpoles.uk/dr-eugeniusz-lazowski-the-polish-schindler-who-saved-jews-by-faking-typhus-epidemic/",1
"#BREAKING #Serbia JUST IN: Protests in Kraljevo Mark Anniversary of NATO Aggression Against Serbia As part of the demonstration, protesters formed the shape of a target—a powerful symbol that became widespread during the NATO bombing. At the time, many Serbs took to the streets wearing target symbols in a show of defiance. The emblem became a symbol of resistance and was seen throughout Serbia during the 78 days of airstrikes.",0
